p_id,wwa_names
EPO77VFDG4RWYRM4M8,"['Excessive Heat Warning', 'Flash Flood Warning', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory']"
EPO77VG3K5ND6G94M9,"['Heat Advisory', 'Heat Advisory']"
EPO77VG5L5X2KYV4M4,"['Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flood Advisory', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Watch', 'Flash Flood Watch', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning']"
EPO77VG46YPNLMT4M2,['Heat Advisory']
EPO77VG5B8RVQYC4M5,['Heat Advisory']
EPO77VGR42HQ9Y64M7,"['Red Flag Warning', 'Fire Weather Watch']"
EPO77VFRRGFSD684M3,"['Excessive Heat Watch', 'Excessive Heat Watch', 'Excessive Heat Warning', 'Excessive Heat Warning', 'Excessive Heat Watch', 'Excessive Heat Warning', 'Excessive Heat Watch', 'Excessive Heat Warning', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory']"
EPO77VFX83CSLNW4M7,"['Flood Advisory', 'Flash Flood Watch', 'Flash Flood Warning', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Watch']"
EPO77VGR2JM8FDF4M6,"['Beach Hazard Statement', 'High Surf Advisory']"
EPO77VGSVYZ5WSK4M1,"['Flood Advisory', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning']"
EPO77VFTCP63VTB4M8,[]
EPO77VFYT57PW944M7,['Marine Warning']
EPO77VGSXTMF7J24M8,"['Heat Advisory', 'Heat Advisory']"
EPO77VFW6B63BX54M5,['Heat Advisory']
EPO77VGTHB5YGFC4M3,[]
EPO77VGT98N2X4B4M8,"['Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning']"
EPO77VG2R4QFJN64M9,[]
EPO77VFQ476VCQT4M1,['Flash Flood Warning']
EPO77VGTBFRRDKC4M4,['Severe Thunderstorm Warning']
EPO77VGRQJS89ZZ4M4,['Red Flag Warning']
EPO77VGW88F3SVK4M1,"['Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory']"
EPO77VFXKN8TJC24M7,"['Beach Hazard Statement', 'High Surf Advisory']"
EPO77VHJRVX6K7G4M6,['Heat Advisory']
EPO77VGSFPTMDQG4M0,"['Flash Flood Warning', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Flood Advisory', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flash Flood Warning', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory']"
EPO77VGTNP6C5GX4M6,['Heat Advisory']
EPO77VFD885DNJG4M2,[]
EPO77VFMZP2Q3MH4M5,[]
EPO77VGS3Y378ZG4M2,"['Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning', 'Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning', 'Marine Warning', 'Marine Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Marine Warning']"
EPO77VHLKNK7XYY4M3,"['Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Flood Advisory', 'Flood Advisory', 'Heat Advisory', 'Heat Advisory']"
EPO77VHYHDSFWY44M7,"['Severe Thunderstorm Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory']"
EPO77VFLJST5R8N4M6,"['Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Excessive Heat Warning', 'Flash Flood Watch', 'Flash Flood Watch', 'Flash Flood Watch']"
EPO77VK9WTSP4LR4M7,"['Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Flood Advisory', 'Heat Advisory', 'Heat Advisory']"
EPO77VJPF9YRSR64M0,"['Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Excessive Heat Warning', 'Excessive Heat Warning', 'Excessive Heat Warning']"
EPO77VJNP4P3GNK4M6,"['Flood Warning', 'Marine Warning', 'Beach Hazard Statement']"
EPO77VHTVT9ZTZW4M5,[]
EPO77VQPLVWY64M4M3,"['Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flood Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory']"
EPO77VQV2BQ8X684M1,"['Flash Flood Warning', 'Flash Flood Warning', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Flood Advisory', 'Flood Advisory']"
EPO77VJ5FMMR3NL4M0,"['Heat Advisory', 'Flood Advisory', 'Flash Flood Warning']"
EPO77VQQMMVD6H74M7,['Heat Advisory']
EPO77VS5598Z84H4M4,[]
EPO77VSKTGDH6QF4M9,"['Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Flood Advisory', 'Heat Advisory', 'Heat Advisory']"
EPO77VTFXKQHTT24M3,[]
EPO77VTJ5GDDB7M4M5,"['Flash Flood Warning', 'Flash Flood Warning', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Flood Advisory', 'Flood Advisory']"
EPO77VSJQNXFNLH4M0,"['Flood Warning', 'Marine Warning', 'Flood Advisory', 'Flood Advisory']"
EPO77VTLLWFN6HZ4M5,[]
EPO77VTSYTCT7594M1,[]
EPO77VZYKLCTNVD4M2,['Heat Advisory']
EPO77W5D7LVNBL34M1,[]
EPO77W2WHBPTS2T4M8,"['Excessive Heat Watch', 'Excessive Heat Warning', 'Heat Advisory']"
EPO77W5SCH3MYYD4M3,[]
EPO77W5SHC7JSG74M2,['Marine Warning']
EPO77W5SBMPPXN34M4,"['Heat Advisory', 'Heat Advisory', 'Heat Advisory']"
EPO77W6C5LJWSXJ4M2,"['Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning']"
EPO77W6C6RNM9DK4M7,['Red Flag Warning']
EPO77W6VYW4W4CP4M6,"['Flood Advisory', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Heat Advisory']"
EPO784VPCH2D5RH4M6,"['Heat Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory']"
EPO784VB8CRSHQN4M8,[]
EPO784V99S7F7794M7,[]
EPO784WCKM4B5KD4M7,"['Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning']"
EPO784VNZDJ6LWN4M1,[]
EPO784WK5NYWQGB4M8,"['Beach Hazard Statement', 'High Surf Advisory', 'Wind Advisory']"
EPO784WHD388JQW4M5,"['Heat Advisory', 'Flood Advisory']"
EPO784W4TXDPZ6Z4M9,[]
EPO784WSWM93JCR4M2,[]
EPO784WJ5FNNC9F4M1,['Heat Advisory']
EPO784WF7CQ3JS44M1,"['High Surf Advisory', 'Beach Hazard Statement']"
EPO784WWP5L7P4P4M5,"['Severe Thunderstorm Watch', 'Severe Thunderstorm Warning', 'Tornado Warning', 'Severe Thunderstorm Warning']"
EPO784W4XY5NRCJ4M1,"['Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Excessive Heat Warning', 'Excessive Heat Warning', 'Excessive Heat Warning', 'Excessive Heat Warning', 'Flash Flood Watch', 'Flash Flood Watch', 'Flash Flood Watch']"
EPO784X2XPZBDBB4M7,"['Beach Hazard Statement', 'High Surf Advisory', 'Small Craft Advisory']"
EPO784XQ8PXSX6V4M8,"['Severe Thunderstorm Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory']"
EPO784Y75CJJQYJ4M9,[]
EPO784XZJG8Z4R64M4,"['Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory']"
EPO784YHQTM538T4M3,"['Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory']"
EPO784YH9DL7C4V4M1,[]
EPO784W8SLFBLYX4M4,[]
EPO78533MKZ7CQ94M5,"['Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Excessive Heat Warning', 'Flash Flood Watch', 'Flash Flood Watch', 'Flash Flood Watch']"
EPO7853BSJVC25F4M7,"['Flood Advisory', 'Beach Hazard Statement']"
EPO7853DFXQBZ8M4M1,[]
EPO7853CDCDYXKQ4M8,"['Marine Warning', 'Marine Warning']"
EPO7853G77Q7RTG4M0,[]
EPO7853M4GB7P5R4M6,"['Beach Hazard Statement', 'High Surf Advisory']"
EPO7853F6MN6YJQ4M4,[]
EPO7853QNHX5VJ74M6,[]
EPO7853GRPJ49524M5,"['Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Flood Advisory']"
EPO78549CLMGXBT4M3,[]
EPO7854GCJ7N6P24M9,[]
EPO7854FFS26XGV4M2,"['Beach Hazard Statement', 'High Surf Advisory']"
EPO78544FJNJYP74M8,"['Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Flood Advisory', 'Heat Advisory', 'Heat Advisory']"
EPO78542T9X8H254M3,[]
EPO7855GC478QQ94M9,[]
EPO7855CYJ2KFJN4M9,[]
EPO78578HH9DWCK4M2,[]
EPO78576X8SFN3K4M9,[]
EPO7855DWQV69X74M0,"['High Surf Advisory', 'Beach Hazard Statement']"
EPO7857BMP6F94F4M3,[]
EPO7857G2PS3FX94M5,"['Excessive Heat Warning', 'Excessive Heat Warning', 'Excessive Heat Watch', 'Excessive Heat Watch', 'Excessive Heat Warning', 'Excessive Heat Watch', 'Heat Advisory', 'Heat Advisory']"
EPO78546H7FR7HC4M8,[]
EPO78585LP39QKB4M6,"['Heat Advisory', 'Heat Advisory', 'Excessive Heat Warning', 'Excessive Heat Warning', 'Flash Flood Watch']"
EPO78577JQTMDRG4M4,"['Heat Advisory', 'Heat Advisory', 'Heat Advisory']"
EPO7853F395GS8L4M9,"['Severe Thunderstorm Warning', 'Marine Warning', 'Marine Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory']"
EPO7857GFYFYG7X4M1,"['High Surf Advisory', 'Beach Hazard Statement', 'Small Craft Advisory']"
EPO78586F2QZSH54M0,[]
EPO7857HVZ9LQ9G4M9,[]
EPO78588F2RCXMP4M2,[]
EPO785B7MPP49HW4M9,"['Excessive Heat Warning', 'Excessive Heat Warning', 'Excessive Heat Watch', 'Excessive Heat Watch', 'Excessive Heat Warning', 'Excessive Heat Watch', 'Heat Advisory', 'Heat Advisory']"
EPO785BHB4TGXGB4M0,[]
EPO785CDP7RJLNT4M3,"['Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Severe Thunderstorm Warning']"
EPO785CDN7J7C9F4M1,[]
EPO785DMZ5DB8SQ4M1,['Wind Advisory']
EPO785CTQ5NFNZM4M9,['Heat Advisory']
EPO785DRY55P9QH4M2,[]
EPO785DWVG677ZF4M9,"['Rip Currents Statement', 'Rip Currents Statement', 'Rip Currents Statement', 'Marine Warning']"
EPO785FDCN7MTFP4M9,[]
EPO785DVM53Q35B4M1,"['Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning']"
EPO785FGTRRGJY94M3,"['High Surf Advisory', 'Beach Hazard Statement']"
EPO785FGXGRMVZ64M3,"['Heat Advisory', 'Heat Advisory', 'Excessive Heat Warning', 'Flash Flood Watch', 'Flash Flood Watch']"
EPO785HXQRG3X9R4M9,"['Heat Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning']"
EPO785GGRNZ6ZCZ4M9,"['Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Flood Advisory', 'Heat Advisory', 'Heat Advisory']"
EPO785J5TMCPWTK4M4,"['Excessive Heat Warning', 'Excessive Heat Watch', 'Excessive Heat Warning', 'Excessive Heat Watch', 'Excessive Heat Warning', 'Excessive Heat Watch', 'Excessive Heat Watch', 'Excessive Heat Warning', 'Dust Storm Advisory', 'Dust Storm Warning', 'Dust Storm Advisory', 'Dust Storm Advisory', 'Dust Storm Advisory']"
EPO785J87K96N644M8,"['Beach Hazard Statement', 'High Surf Advisory']"
EPO785J7GJLK8R34M2,[]
EPO785KH6Q4K6L54M3,[]
EPO785KGFVB9Z8B4M3,"['Heat Advisory', 'Heat Advisory']"
EPO785DPR3MFM8X4M8,[]
EPO785KQKWCYLDJ4M2,[]
EPO785YZDRD8LHG4M7,[]
EPO785JC7YH6DKD4M5,"['Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flood Advisory', 'Heat Advisory', 'Flood Advisory', 'Flood Advisory']"
EPO78795T6C4V4F4M0,"['Heat Advisory', 'Heat Advisory']"
EPO787PDP9WMCLY4M8,"['Severe Thunderstorm Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory']"
EPO787S889KP3XT4M2,"['Heat Advisory', 'Heat Advisory']"
EPO787WGBKXNKW44M2,['Heat Advisory']
EPO7888S68Z3M2Z4M9,[]
EPO7894GZD2PLM54M0,['Heat Advisory']
EPO785JVXDX8VHQ4M0,[]
EPO785NVNV85RFX4M0,[]
EPO788V4QZP58M34M2,[]
EPO78B77GTR4YPQ4M8,"['Flash Flood Warning', 'Flash Flood Warning', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Flood Advisory', 'Flood Advisory']"
EPO789PXYDFCJRX4M7,[]
EPO78BRVSLZBL5H4M8,"['Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Excessive Heat Warning', 'Excessive Heat Warning', 'Excessive Heat Warning', 'Excessive Heat Warning', 'Excessive Heat Warning', 'Flash Flood Watch', 'Flash Flood Watch', 'Flash Flood Watch', 'Flash Flood Watch']"
EPO78B2GFMS9MQW4M3,"['High Surf Advisory', 'Beach Hazard Statement', 'Small Craft Advisory']"
EPO78BNPG66925Z4M3,"['Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Excessive Heat Warning', 'Flash Flood Watch', 'Flash Flood Watch', 'Flash Flood Watch']"
EPO78BWBQM467YT4M2,"['Beach Hazard Statement', 'High Surf Advisory']"
EPO78BWHBFNJFPV4M6,"['Beach Hazard Statement', 'High Surf Advisory']"
EPO78BS2RJC6L4J4M6,"['Flash Flood Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Heat Advisory']"
EPO78BWLXZF8R284M5,"['Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flash Flood Warning', 'Flood Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory']"
EPO78BWNJ2ZTS894M6,"['High Surf Advisory', 'Beach Hazard Statement']"
EPO78BWLCZZ7MK94M2,"['Heat Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory']"
EPO78BY8P4KHCNN4M9,"['Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Warning', 'Flood Warning']"
EPO78C37H8FZ6Y94M6,[]
EPO78C495L9PDMV4M1,"['Beach Hazard Statement', 'High Surf Advisory']"
EPO78C356TNBLLV4M8,"['Heat Advisory', 'Heat Advisory', 'Excessive Heat Warning', 'Excessive Heat Warning', 'Flash Flood Watch']"
EPO78C4CJZTBR5N4M9,"['Heat Advisory', 'Heat Advisory', 'Heat Advisory']"
EPO78C5PY2N9HPY4M9,"['Heat Advisory', 'Heat Advisory']"
EPO78BWG7T3V4N24M0,"['High Surf Advisory', 'Beach Hazard Statement']"
EPO78C4L9VNMCY34M2,"['Heat Advisory', 'Heat Advisory', 'Heat Advisory']"
EPO78C63Z5F7MYC4M0,[]
EPO78C5YXPXWN6W4M8,"['Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning', 'Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning', 'Marine Warning', 'Marine Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Marine Warning', 'Marine Warning']"
EPO78BRVTM8MTJW4M0,[]
EPO78C5ZKJQVSZ64M0,[]
EPO78CCD3M23MJZ4M6,['Heat Advisory']
EPO78CDZG9WC96V4M4,"['Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory']"
EPO78C4G6J56WCZ4M7,"['Heat Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flood Advisory']"
EPO78CF2SMQS77L4M5,['Flood Advisory']
EPO78CF5J5K9V794M0,"['Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Flood Advisory']"
EPO78CFLDCXD3R74M0,"['Small Craft Advisory', 'Small Craft Advisory', 'Small Craft Advisory', 'Small Craft Advisory', 'Beach Hazard Statement', 'Beach Hazard Statement', 'Beach Hazard Statement', 'Small Craft Advisory']"
EPO78CFN8ZFZ2M84M8,['Wind Advisory']
EPO78CFLMRGD9KW4M2,[]
EPO78CFNR9TTT3F4M5,[]
EPO78CF47Z3VMZR4M8,[]
EPO78CG8LNVP9LY4M8,[]
EPO78CGBP25GCN74M3,[]
